,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason,Population,customer_loyalty,Service_Count,ServiceCategory,Charges per Service,charges Level,Churn_Flag
0,Female,37,Yes,0,Frazier Park,93225,34.827662,-118.999073,2,9,Yes,42.39,No,Yes,Cable,16.0,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,65.6,593.3,0.0,0,381.51,974.81,Stayed,Still Customer,Still Customer,4498,Early,6,Heavy Bundle,98.88,Low Level of charges,0
1,Male,46,No,0,Glendale,91206,34.162515,-118.203869,0,9,Yes,10.69,Yes,Yes,Cable,10.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,-4.0,542.4,38.33,10,96.21,610.28,Stayed,Still Customer,Still Customer,31297,Early,4,Light Bundle,135.6,Low Level of charges,0
2,Male,50,No,0,Costa Mesa,92627,33.645672,-117.922613,0,4,Yes,33.65,No,Yes,Fiber Optic,30.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,280.85,0.0,0,134.6,415.45,Churned,Competitor,Competitor had better devices,62069,New,4,Light Bundle,70.21,Low Level of charges,1
3,Male,78,Yes,0,Martinez,94553,38.014457,-122.115432,1,13,Yes,27.82,No,Yes,Fiber Optic,4.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.0,1237.85,0.0,0,361.66,1599.51,Churned,Dissatisfaction,Product dissatisfaction,46677,Growth,7,Heavy Bundle,176.84,Low Level of charges,1
4,Female,75,Yes,0,Camarillo,93010,34.227846,-119.079903,3,3,Yes,7.38,No,Yes,Fiber Optic,11.0,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.9,267.4,0.0,0,22.14,289.54,Churned,Dissatisfaction,Network reliability,42853,New,5,Light Bundle,53.48,Low Level of charges,1
5,Female,23,No,3,Midpines,95345,37.581496,-119.972762,0,9,Yes,16.77,No,Yes,Cable,73.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69.4,571.45,0.0,0,150.93,722.38,Stayed,Still Customer,Still Customer,433,Early,7,Heavy Bundle,81.64,Low Level of charges,0
6,Female,67,Yes,0,Lompoc,93437,34.757477,-120.550507,1,71,Yes,9.96,No,Yes,Fiber Optic,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.7,7904.25,0.0,0,707.16,8611.41,Stayed,Still Customer,Still Customer,6165,Loyal,10,Heavy Bundle,790.42,Mid Level of charges,0
7,Male,52,Yes,0,Napa,94558,38.489789,-122.27011,8,63,Yes,12.96,Yes,Yes,Fiber Optic,7.0,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,84.65,5377.8,0.0,20,816.48,6214.28,Stayed,Still Customer,Still Customer,63947,Loyal,4,Light Bundle,1344.45,High Level of charges,0
8,Female,68,No,0,Simi Valley,93063,34.296813,-118.685703,0,7,Yes,10.53,No,Yes,DSL,21.0,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,48.2,340.35,0.0,0,73.71,414.06,Stayed,Still Customer,Still Customer,49027,Early,4,Light Bundle,85.09,Low Level of charges,0
9,Female,43,Yes,1,Sheridan,95681,38.984756,-121.345074,3,65,Yes,28.46,Yes,Yes,Cable,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90.45,5957.9,0.0,0,1849.9,7807.8,Stayed,Still Customer,Still Customer,1219,Loyal,10,Heavy Bundle,595.79,Mid Level of charges,0
